time,dx,dy
2000,-5,3
2000,-6,5
2000,-6,4
2000,-5,4
2000,-6,5
2000,-8,5
2000,-5,4
2000,-6,5
2000,-6,4
2000,-6,4
2000,-3,4
2000,-6,4
2000,-6,4
2000,-5,4
2000,-5,5
2000,-8,6
2000,-3,3
2000,-5,5
2000,-6,4
2000,-6,4
2000,-7,6
2000,-5,5
2000,-6,4
2000,-6,4
2000,-5,5
2000,-6,4
2000,-4,3
2000,-5,5
2000,-6,4
2000,-6,5
2000,-5,4
2000,-5,5
2000,-6,4
2000,-6,5
2000,-6,5
2000,-8,7
2000,-6,4
2000,-6,5
2000,-6,5
2000,-6,4
2000,-5,5
2000,-6,4
2000,-5,5
2000,-6,5
2000,-6,5
2000,-4,3
2000,-5,5
2000,-5,5
2000,-6,4
2000,-7,8
2000,-6,4
2000,-6,5
2000,-5,5
2000,-6,4
2000,-6,5
2000,-5,5
2000,-4,3
2000,-5,5
2000,-7,4
2000,-7,7
2000,-6,4
2000,-5,5
2000,-5,5
2000,-6,4
2000,-6,5
2000,-5,4
2000,-4,3
2000,-5,5
2000,-6,4
2000,-8,6
2000,-3,3
2000,-6,5
2000,-6,5
2000,-5,4
2000,-6,5
2000,-8,5
2000,-7,5
2000,-6,4
2000,-6,5
2000,-5,4
2000,-6,4
2000,-6,4
2000,-7,5
2000,-6,4
2000,-6,5
2000,-9,5
2000,-6,4
2000,-6,5
2000,-6,4
2000,-6,4
2000,-6,4
2000,-6,4
2000,-6,5
2000,-5,4
2000,-6,4
2000,-4,2
2000,-6,4
2000,-5,3
2000,-6,4
2000,-7,4
2000,-6,4
2000,-6,3
2000,-6,4
2000,-6,4
2000,-5,3
2000,-5,3
2000,-5,3
2000,-6,3
2000,-4,3
2000,-6,3
2000,-6,4
2000,-6,3
2000,-6,3
2000,-5,4
2000,-6,4
2000,-6,3
2000,-6,4
2000,-5,3
2000,-6,3
2000,-6,4
2000,-6,3
2000,-6,3
2000,-6,4
2000,-6,3
2000,-6,3
2000,-6,3
2000,-6,4
2000,-6,3
2000,-6,3
2000,-5,4
2000,-6,3
2000,-6,3
2000,-6,3
2000,-6,3
2000,-6,3
2000,-8,4
2000,-6,3
2000,-6,3
2000,-6,2
2000,-5,4
2000,-7,2
2000,-5,3
2000,-6,3
2000,-5,2
2000,-5,3
2000,-6,3
2000,-6,2
2000,-4,2
2000,-4,3
2000,-6,2
2000,-6,3
2000,-5,2
2000,-5,2
2000,-5,2
2000,-5,3
2000,-6,2
2000,-5,2
2000,-6,3
2000,-5,1
2000,-6,2
2000,-6,3
2000,-6,1
2000,-5,1
2000,-6,2
2000,-5,2
2000,-5,1
2000,-6,2
2000,-6,2
2000,-5,2
2000,-5,1
2000,-5,2
2000,-5,2
2000,-7,1
2000,-5,2
2000,-5,1
2000,-5,1
2000,-5,2
2000,-5,1
2000,-5,2
2000,-6,2
2000,-3,0
2000,-5,2
2000,-5,1
2000,-6,2
2000,-5,1
2000,-5,2
2000,-6,2
2000,-5,1
2000,-6,1
2000,-4,1
2000,-6,2
2000,-5,1
2000,-5,2
2000,-6,1
2000,-5,1
2000,-4,2
2000,-5,1
2000,-4,2
2000,-4,1
2000,-5,2
2000,-4,0
2000,-3,1
2000,-5,1
2000,-5,2
2000,-4,1
2000,-5,1
2000,-4,1
2000,-4,1
2000,-5,2
2000,-5,1
2000,-4,1
2000,-5,1
2000,-5,1
2000,-5,1
2000,-6,1
2000,-7,0
2000,-7,1
2000,-8,1
2000,-6,1
2000,-6,1
2000,-5,0
2000,-4,1
2000,-5,1
2000,-3,1
2000,-4,0
2000,-5,1
2000,-4,0
2000,-5,1
2000,-5,0
2000,-7,1
2000,-5,0
2000,-5,1
2000,-4,1
2000,-5,0
2000,-4,0
2000,-4,1
2000,-4,0
2000,-4,0
2000,-3,0
2000,-4,0
2000,-5,1
2000,-4,0
2000,-4,1
2000,-3,0
2000,-4,1
2000,-4,0
2000,-5,0
2000,-4,0
2000,-4,0
2000,-4,0
2000,-4,1
2000,-4,0
2000,-4,1
2000,-4,0
2000,-4,0
2000,-5,1
2000,-2,0
2000,-4,0
2000,-3,0
2000,-4,0
2000,-4,0
2000,-3,0
2000,-4,1
2000,-4,0
2000,-4,1
2000,-4,0
2000,-3,0
2000,-4,1
2000,-4,0
2000,-4,1
2000,-3,0
2000,-4,0
2000,-4,0
2000,-3,0
2000,-3,0
2000,-4,0
2000,-3,0
2000,-4,0
2000,-4,0
2000,-3,0
2000,-4,0
2000,-4,0
2000,-4,0
2000,-4,0
2000,-3,0
2000,-4,0
2000,-4,0
2000,-4,0
2000,-5,0
2000,-4,0
2000,-4,-1
2000,-5,0
2000,-4,-1
2000,-4,0
2000,-4,-1
2000,-4,0
2000,-5,-1
2000,-3,-1
2000,-5,-1
2000,-4,0
2000,-4,0
2000,-6,-2
2000,-3,-1
2000,-4,0
2000,-5,-1
2000,-4,-1
2000,-5,-1
2000,-4,-2
2000,-5,-2
2000,-5,-1
2000,-5,-1
2000,-3,-2
2000,-5,-2
2000,-4,-1
2000,-5,-2
2000,-4,-2
2000,-4,-2
2000,-5,-2
2000,-4,-3
2000,-4,-1
2000,-4,-3
2000,-4,-2
2000,-4,-3
2000,-4,-1
2000,-5,-3
2000,-4,-2
2000,-4,-3
2000,-4,-2
2000,-5,-3
2000,-4,-2
2000,-4,-2
2000,-4,-2
2000,-5,-3
2000,-4,-2
2000,-4,-2
2000,-4,-2
2000,-5,-3
2000,-4,-2
2000,-4,-2
2000,-4,-3
2000,-4,-2
2000,-4,-2
2000,-5,-3
2000,-4,-2
2000,-4,-2
2000,-4,-3
2000,-5,-2
2000,-5,-2
2000,-4,-2
2000,-4,-2
2000,-5,-3
2000,-4,-2
2000,-4,-3
2000,-4,-2
2000,-4,-3
2000,-4,-3
2000,-4,-2
2000,-4,-3
2000,-3,-2
2000,-4,-2
2000,-4,-3
2000,-4,-2
2000,-4,-3
2000,-4,-2
2000,-3,-2
2000,-5,-3
2000,-4,-3
2000,-4,-2
2000,-4,-3
2000,-4,-2
2000,-4,-3
2000,-4,-2
2000,-4,-3
2000,-5,-4
2000,-4,-3
2000,-4,-2
2000,-4,-3
2000,-3,-3
2000,-4,-2
2000,-4,-3
2000,-4,-3
2000,-4,-2
2000,-4,-4
2000,-4,-2
2000,-4,-3
2000,-4,-3
2000,-4,-2
2000,-4,-3
2000,-4,-3
2000,-3,-2
2000,-4,-3
2000,-4,-3
2000,-3,-2
2000,-4,-3
2000,-4,-3
2000,-5,-3
2000,-4,-3
2000,-5,-3
2000,-3,-2
2000,-5,-3
2000,-4,-3
2000,-4,-3
2000,-4,-3
2000,-4,-3
2000,-4,-2
2000,-4,-3
2000,-4,-3
2000,-4,-2
2000,-4,-3
2000,-4,-3
2000,-4,-2
2000,-4,-3
2000,-4,-2
2000,-3,-3
2000,-4,-2
2000,-4,-3
2000,-4,-3
2000,-5,-2
2000,-4,-3
2000,-5,-4
2000,-4,-2
2000,-5,-3
2000,-4,-3
2000,-4,-3
2000,-4,-3
2000,-4,-2
2000,-4,-4
2000,-4,-3
2000,-5,-3
2000,-4,-2
2000,-5,-4
2000,-4,-3
2000,-5,-3
2000,-4,-3
2000,-6,-3
2000,-5,-3
2000,-6,-3
2000,-6,-3
2000,-3,-1
2000,-7,-4
2000,-5,-3
2000,-6,-3
2000,-5,-3
2000,-5,-4
2000,-7,-4
2000,-4,-3
2000,-5,-3
2000,-5,-3
2000,-4,-3
2000,-5,-3
2000,-5,-3
2000,-5,-3
2000,-5,-3
2000,-5,-3
2000,-4,-3
2000,-5,-3
2000,-5,-3
2000,-5,-3
2000,-4,-3
2000,-4,-2
2000,-5,-4
2000,-6,-3
2000,-7,-5
2000,-3,-2
2000,-5,-3
2000,-5,-3
2000,-5,-3
2000,-5,-3
2000,-5,-4
2000,-5,-3
2000,-5,-3
2000,-5,-3
2000,-5,-3
2000,-6,-3
2000,-5,-4
2000,-6,-3
2000,-4,-3
2000,-5,-4
2000,-5,-3
2000,-5,-3
2000,-5,-3
2000,-5,-3
2000,-5,-3
2000,-7,-2
2000,-5,-4
2000,-6,-3
2000,-5,-3
2000,-4,-2
2000,-4,-2
2000,-6,-3
2000,-5,-3
2000,-5,-3
2000,-5,-3
2000,-6,-3
2000,-5,-3
2000,-7,-4
2000,-6,-4
2000,-4,-3
2000,-6,-4
2000,-4,-2
2000,-5,-4
2000,-5,-3
2000,-6,-3
2000,-7,-4
2000,-5,-3
2000,-5,-3
2000,-5,-3
2000,-4,-2
2000,-5,-4
2000,-5,-3
2000,-5,-3
2000,-6,-3
2000,-5,-3
2000,-5,-4
2000,-8,-4
2000,-3,-3
2000,-5,-3
2000,-7,-4
2000,-6,-4
2000,-4,-3
2000,-6,-2
2000,-6,-3
2000,-5,-3
2000,-4,-3
2000,-5,-2
2000,-6,-3
2000,-5,-3
2000,-5,-3
2000,-6,-3
2000,-5,-3
2000,-5,-3
2000,-5,-3
2000,-6,-3
2000,-5,-3
2000,-4,-2
2000,-8,-5
2000,-5,-3
2000,-6,-3
2000,-5,-3
2000,-6,-3
2000,-6,-3
2000,-5,-3
2000,-5,-4
2000,-5,-3
2000,-5,-4
2000,-5,-3
2000,-6,-3
2000,-5,-3
2000,-6,-2
2000,-6,-4
2000,-5,-3
2000,-3,-2
2000,-5,-3
2000,-6,-3
2000,-5,-3
2000,-4,-3
2000,-6,-2
2000,-5,-4
2000,-8,-4
2000,-5,-2
2000,-6,-3
2000,-5,-2
2000,-6,-3
2000,-5,-2
2000,-6,-3
2000,-5,-3
2000,-5,-2
2000,-5,-2
2000,-5,-3
2000,-5,-3
2000,-5,-2
2000,-4,-1
2000,-5,-3
2000,-6,-3
2000,-6,-2
2000,-7,-4
2000,-6,-3
2000,-6,-3
2000,-5,-2
2000,-6,-2
2000,-6,-3
2000,-5,-2
2000,-4,-2
2000,-6,-3
2000,-6,-2
2000,-6,-4
2000,-7,-3
2000,-4,-2
2000,-6,-2
2000,-5,-3
2000,-5,-2
2000,-5,-3
2000,-6,-2
2000,-6,-2
2000,-5,-2
2000,-5,-3
2000,-6,-3
2000,-6,-2
2000,-5,-3
2000,-8,-3
2000,-5,-3
2000,-6,-2
2000,-6,-2
2000,-5,-2
2000,-6,-2
2000,-5,-3
2000,-6,-2
2000,-4,-2
2000,-6,-2
2000,-5,-2
2000,-6,-2
2000,-8,-3
2000,-6,-2
2000,-5,-2
2000,-4,-3
2000,-6,-2
2000,-5,-2
2000,-5,-2
2000,-5,-2
2000,-5,-2
2000,-6,-3
2000,-5,-1
2000,-6,-3
2000,-7,-2
2000,-6,-2
2000,-6,-1
2000,-6,-2
2000,-6,-2
2000,-5,-2
2000,-6,-1
2000,-4,-1
2000,-6,-2
2000,-5,-2
2000,-7,-1
2000,-5,-2
2000,-7,-1
2000,-5,-1
2000,-5,-1
2000,-5,-1
2000,-5,-1
2000,-5,-1
2000,-6,-2
2000,-4,-1
2000,-7,-2
2000,-5,-1
2000,-5,-2
2000,-5,-1
2000,-5,0
2000,-5,-1
2000,-4,-2
2000,-5,0
2000,-6,-2
2000,-4,-1
2000,-6,-1
2000,-5,-1
2000,-6,-1
2000,-5,-1
2000,-7,-1
2000,-5,-1
2000,-5,-1
2000,-5,0
2000,-5,-2
2000,-4,-1
2000,-5,-1
2000,-5,-1
2000,-4,-1
2000,-5,-1
2000,-6,0
2000,-5,-2
2000,-6,0
2000,-6,-1
2000,-4,-1
2000,-4,0
2000,-5,-1
2000,-5,0
